Index	Uniprot_ID	Protein_names	Length	Organism_ID	Gene_name	Subcellular_location	GO(CC)	Tissue_specificity	GeneID	PDB	Degree	mean_score_top_10_pred
10	P13693	Translationally-controlled tumor protein (TCTP) (Fortilin) (Histamine-releasing factor) (HRF) (p23)	172	9606	TPT1	Cytoplasm {ECO:0000269|PubMed:9059837}.	cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; multivesicular body [GO:0005771]; nucleus [GO:0005634]; spindle pole [GO:0000922]	Found in several healthy and tumoral cells including erythrocytes, hepatocytes, macrophages, platelets, keratinocytes, erythroleukemia cells, gliomas, melanomas, hepatoblastomas, and lymphomas. It cannot be detected in kidney and renal cell carcinoma (RCC). Expressed in placenta and prostate. {ECO:0000269|PubMed:9059837}.	7178;	1YZ1;2HR9;3EBM;4Z9V;5O9L;5O9M;6IZB;6IZE;	10	0.8662111759185791
11	Q92673	Sortilin-related receptor (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (SorLA)	2214	9606	SORL1	Golgi apparatus membrane {ECO:0000269|PubMed:11294867, ECO:0000269|PubMed:16174740, ECO:0000269|PubMed:17855360, ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:21994944}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:17646382, ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:23333276}; Single-pass type I membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:23333276}; Single-pass type I membrane protein {ECO:0000305}. Early endosome membrane {ECO:0000269|PubMed:16174740, ECO:0000269|PubMed:17646382, ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:31138794}; Single-pass type I membrane protein {ECO:0000305}. Recycling endosome membrane {ECO:0000269|PubMed:17855360, ECO:0000269|PubMed:31138794}; Single-pass type I membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:17855360, ECO:0000269|PubMed:21385844}; Single-pass type I membrane protein {ECO:0000305}. Endosome, multivesicular body membrane {ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:23333276}; Single-pass type I membrane protein {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:11294867, ECO:0000269|PubMed:14764453, ECO:0000269|PubMed:15053742, ECO:0000269|PubMed:17855360, ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:21994944, ECO:0000269|PubMed:31138794}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:21994944}; Single-pass type I membrane protein {ECO:0000305}. Secreted {ECO:0000269|PubMed:11082041, ECO:0000269|PubMed:14764453, ECO:0000269|PubMed:15053742, ECO:0000269|PubMed:16393139, ECO:0000269|PubMed:16531402}. Note=Mostly intracellular, predominantly in the trans-Golgi network (TGN) and in endosome, as well as in endosome-to-TGN retrograde vesicles; found at low levels on the plasma membrane (PubMed:11294867, PubMed:15053742, PubMed:17855360, PubMed:21994944, PubMed:21385844, PubMed:31138794). At the cell surface, partially subjected to proteolytic shedding that releases the ectodomain (also called soluble SORLA, solLR11 or sLR11) in the extracellular milieu (PubMed:11082041, PubMed:16393139, PubMed:16531402). The shedding may be catalyzed by ADAM17/TACE (PubMed:16393139). Following shedding, PSEN1/presenilin-1 cleaves the remaining transmembrane fragment and catalyzes the release of a C-terminal fragment in the cytosol and of a soluble N-terminal beta fragment in the extracellular milieu. The C-terminal cytosolic fragment localizes to the nucleus (PubMed:16531402). At the cell surface, the full-length protein undergoes partial clathrin-dependent endocytosis guided by clathrin adapter protein 2 (AP-2) (PubMed:11294867, PubMed:15053742, PubMed:17646382). {ECO:0000269|PubMed:11082041, ECO:0000269|PubMed:11294867, ECO:0000269|PubMed:15053742, ECO:0000269|PubMed:16393139, ECO:0000269|PubMed:16531402, ECO:0000269|PubMed:17646382, ECO:0000269|PubMed:17855360, ECO:0000269|PubMed:21385844, ECO:0000269|PubMed:21994944, ECO:0000269|PubMed:31138794}.	cell [GO:0005623]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; nuclear envelope lumen [GO:0005641]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]	Highly expressed in brain (at protein level) (PubMed:9157966, PubMed:16174740, PubMed:21147781). Most abundant in the cerebellum, cerebral cortex and occipital pole; low levels in the putamen and thalamus (PubMed:9157966, PubMed:16174740). Expression is significantly reduced in the frontal cortex of patients suffering from Alzheimer disease (PubMed:16174740). Also expressed in spinal cord, spleen, testis, prostate, ovary, tyroid and lymph nodes (PubMed:9157966, PubMed:8940146). {ECO:0000269|PubMed:16174740, ECO:0000269|PubMed:21147781, ECO:0000269|PubMed:8940146, ECO:0000269|PubMed:9157966}.	6653;	2DM4;3G2S;3G2T;3WSX;3WSY;3WSZ;	6	0.7901308476924896
12	P08571	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]	375	9606	CD14	Cell membrane {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:2462937, ECO:0000269|PubMed:3385210}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:2462937, ECO:0000269|PubMed:3385210}. Secreted {ECO:0000269|PubMed:25497142, ECO:0000269|PubMed:2779588}. Membrane raft {ECO:0000269|PubMed:16880211}. Golgi apparatus {ECO:0000269|PubMed:16880211}. Note=Secreted forms may arise by cleavage of the GPI anchor. {ECO:0000269|PubMed:2462937, ECO:0000269|PubMed:2779588, ECO:0000269|PubMed:3385210}.	anchored component of external side of plasma membrane [GO:0031362]; cell surface [GO:0009986]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lipopolysaccharide receptor complex [GO:0046696]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	Detected on macrophages (at protein level) (PubMed:1698311). Expressed strongly on the surface of monocytes and weakly on the surface of granulocytes; also expressed by most tissue macrophages. {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:25497142}.	929;	4GLP;	7	0.7871256947517395
13	Q13057	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	564	9606	COASY	Cytoplasm {ECO:0000269|PubMed:24360804}. Mitochondrion matrix {ECO:0000269|PubMed:24360804}. Note=The protein is mainly present in the mitochondrial matrix, probably anchored to the inner mitochondrial membrane, but is also present in cell lysate. {ECO:0000269|PubMed:24360804}.	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]	Expressed in all tissues examined including brain, heart, skeletal muscle, colon, thymus, spleen, kidney, liver, small intestine, placenta, lung and peripheral blood leukocyte. Lowest expression in peripheral blood leukocytes and highest in kidney and liver. Isoform 2 is expressed mainly in the brain. {ECO:0000269|PubMed:11923312}.	80347;	NA;	4	0.6605183839797973
14	P05305	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	212	9606	EDN1	Secreted.	basal part of cell [GO:0045178]; cell [GO:0005623]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; rough endoplasmic reticulum lumen [GO:0048237]; transport vesicle [GO:0030133]; Weibel-Palade body [GO:0033093]	Expressed in lung, placental stem villi vessels and in cultured placental vascular smooth muscle cells. {ECO:0000269|PubMed:9284755}.	1906;	1EDN;1EDP;1T7H;1V6R;5GLH;6DK5;	2	0.6381886184215546
15	P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	750	9606	MME	Cell membrane; Single-pass type II membrane protein.	axon [GO:0030424]; brush border [GO:0005903]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; neuron projection terminus [GO:0044306]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; secretory granule membrane [GO:0030667]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]		4311;	1DL9;1DMT;1QVD;1R1H;1R1I;1R1J;1Y8J;2QPJ;2YB9;4CTH;5JMY;6GID;6SH1;6SH2;6SUK;6SVY;6THP;6XVP;	15	0.8786783814430237
16	Q6P1J6	Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Phospholipase B/lipase) (PLB/LIP) [Includes: Phospholipase A2 (EC 3.1.1.4); Lysophospholipase (EC 3.1.1.5)]	1458	9606	PLB1	Apical cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Present in the intestinal brush border membranes. {ECO:0000250}.	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	Expressed in the epidermis (at protein level). {ECO:0000269|PubMed:12150957}.	151056;	NA;	2	0.6106274485588074
17	Q96TC7	Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51)	470	9606	RMDN3	Mitochondrion membrane; Single-pass membrane protein. Mitochondrion outer membrane. Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles.	cell [GO:0005623]; integral component of membrane [GO:0016021]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; spindle pole [GO:0000922]	Present at high level in epidermis and seminiferous epithelium: while basal cells in the epidermis and spermatogonia show no perceptible amount, keratinocytes of suprabasal layers and differentiating first-order spermatocytes up to spermatids exhibit high expression. In skeletal muscle, its presence is restricted to fibers of the fast twitch type. In surface epithelia containing ciliated cells, it is associated with the microtubular structures responsible for ciliary movement. Also present in specific structures of the central nervous system such as neurons of the hippocampal region, ganglion cells of the autonomic nervous system, and axons of the peripheral nervous system (at protein level). Widely expressed. {ECO:0000269|PubMed:15609043, ECO:0000269|PubMed:16820967}.	55177;	NA;	10	0.8383029043674469
18	P62753	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	249	9606	RPS6		cell body [GO:0044297]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; small ribosomal subunit [GO:0015935]		6194;	4UG0;4V6X;5A2Q;5AJ0;5FLX;5LKS;5OA3;5T2C;5VYC;6EK0;6F4P;6F4Q;6FEC;6G18;6G4S;6G4W;6G51;6G53;6G5H;6G5I;6IP5;6IP6;6IP8;6OLE;6OLF;6OLG;6OLI;6OLZ;6OM0;6OM7;6QZP;6Y0G;6Y2L;6Y57;	26	0.9216795802116394
19	P18031	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	435	9606	PTPN1	Endoplasmic reticulum membrane {ECO:0000269|PubMed:1739967, ECO:0000269|PubMed:21135139}; Peripheral membrane protein {ECO:0000269|PubMed:1739967, ECO:0000269|PubMed:21135139}; Cytoplasmic side {ECO:0000269|PubMed:1739967, ECO:0000269|PubMed:21135139}. Note=Interacts with EPHA3 at the cell membrane.	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; mitochondrial crista [GO:0030061]; mitochondrial matrix [GO:0005759]; protein-containing complex [GO:0032991]; sorting endosome [GO:0097443]	Expressed in keratinocytes (at protein level). {ECO:0000269|PubMed:29043977}.	5770;	1A5Y;1AAX;1BZC;1BZH;1BZJ;1C83;1C84;1C85;1C86;1C87;1C88;1ECV;1EEN;1EEO;1G1F;1G1G;1G1H;1G7F;1G7G;1GFY;1I57;1JF7;1KAK;1KAV;1L8G;1LQF;1NL9;1NNY;1NO6;1NWE;1NWL;1NZ7;1OEM;1OEO;1OES;1OET;1OEU;1OEV;1ONY;1ONZ;1PA1;1PH0;1PTT;1PTU;1PTV;1PTY;1PXH;1PYN;1Q1M;1Q6J;1Q6M;1Q6N;1Q6P;1Q6S;1Q6T;1QXK;1SUG;1T48;1T49;1T4J;1WAX;1XBO;2AZR;2B07;2B4S;2BGD;2BGE;2CM2;2CM3;2CM7;2CM8;2CMA;2CMB;2CMC;2CNE;2CNF;2CNG;2CNH;2CNI;2F6F;2F6T;2F6V;2F6W;2F6Y;2F6Z;2F70;2F71;2FJM;2FJN;2H4G;2H4K;2HB1;2HNP;2HNQ;2NT7;2NTA;2QBP;2QBQ;2QBR;2QBS;2VEU;2VEV;2VEW;2VEX;2VEY;2ZMM;2ZN7;3A5J;3A5K;3CWE;3D9C;3EAX;3EB1;3EU0;3I7Z;3I80;3QKP;3QKQ;3SME;3ZMP;3ZMQ;3ZV2;4BJO;4I8N;4QAH;4QAP;4QBE;4QBW;4Y14;4ZRT;5K9V;5K9W;5KA0;5KA1;5KA2;5KA3;5KA4;5KA7;5KA8;5KA9;5KAA;5KAB;5KAC;5KAD;5QDE;5QDF;5QDG;5QDH;5QDI;5QDJ;5QDK;5QDL;5QDM;5QDN;5QDO;5QDP;5QDQ;5QDR;5QDS;5QDT;5QDU;5QDV;5QDW;5QDX;5QDY;5QDZ;5QE0;5QE1;5QE2;5QE3;5QE4;5QE5;5QE6;5QE7;5QE8;5QE9;5QEA;5QEB;5QEC;5QED;5QEE;5QEF;5QEG;5QEH;5QEI;5QEJ;5QEK;5QEL;5QEM;5QEN;5QEO;5QEP;5QEQ;5QER;5QES;5QET;5QEU;5QEV;5QEW;5QEX;5QEY;5QEZ;5QF0;5QF1;5QF2;5QF3;5QF4;5QF5;5QF6;5QF7;5QF8;5QF9;5QFA;5QFB;5QFC;5QFD;5QFE;5QFF;5QFG;5QFH;5QFI;5QFJ;5QFK;5QFL;5QFM;5QFN;5QFO;5QFP;5QFQ;5QFR;5QFS;5QFT;5QFU;5QFV;5QFW;5QFX;5QFY;5QFZ;5QG0;5QG1;5QG2;5QG3;5QG4;5QG5;5QG6;5QG7;5QG8;5QG9;5QGA;5QGB;5QGC;5QGD;5QGE;5QGF;5T19;6B8E;6B8T;6B8X;6B8Z;6B90;6B95;6BAI;6CWU;6CWV;6NTP;6OL4;6OLQ;6OLV;6OMY;6PFW;6PG0;6PGT;6PHA;6PHS;6PM8;	36	0.9136495292186737
20	Q8NA03	Fibrous sheath-interacting protein 1	581	9606	FSIP1				161835;	NA;	1	0.5834175288677216
21	O75581	Low-density lipoprotein receptor-related protein 6 (LRP-6)	1613	9606	LRP6	Cell membrane {ECO:0000269|PubMed:26387593}; Single-pass type I membrane protein. Endoplasmic reticulum {ECO:0000269|PubMed:26387593}. Membrane raft {ECO:0000269|PubMed:23987510}. Note=On Wnt signaling, undergoes a cycle of caveolin- or clathrin-mediated endocytosis and plasma membrane location. Released from the endoplasmic reticulum on palmitoylation. Mono-ubiquitination retains it in the endoplasmic reticulum in the absence of palmitoylation. On Wnt signaling, phosphorylated, aggregates and colocalizes with AXIN1 and GSK3B at the plasma membrane in LRP6-signalsomes. Chaperoned to the plasma membrane by MESD (By similarity). {ECO:0000250}.	cell [GO:0005623]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; synapse [GO:0045202]; Wnt-Frizzled-LRP5/6 complex [GO:1990851]; Wnt signalosome [GO:1990909]	Widely coexpressed with LRP5 during embryogenesis and in adult tissues.	4040;	3S2K;3S8V;3S8Z;3S94;3SOB;3SOQ;3SOV;4A0P;4DG6;4NM5;4NM7;5AIR;5FWW;5GJE;6H15;6H16;	8	0.7832156121730804
22	P08183	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	1280	9606	ABCB1	Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000269|PubMed:8898203}.	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; external side of apical plasma membrane [GO:0098591]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	Expressed in liver, kidney, small intestine and brain.	5243;	6C0V;6FN1;6FN4;6QEX;	4	0.7642033696174622
