Uniprot_A	Uniprot_B	Interaction	Protein_A_idx	Protein_B_idx
P02792	P42336	1	575	887
P60709	Q92731	1	243	422
P38398	P40763	1	697	255
P00441	P62937	1	479	991
P40189	Q16619	1	714	318
P11473	Q15466	1	420	331
P38398	Q13155	1	697	828
O60602	Q99836	1	432	1016
P01116	P28482	1	1028	701
O15524	Q04206	1	647	218
P38398	Q01813	1	697	380
Q9BXC9	Q9NPJ1	1	741	760
P00533	P29350	1	435	942
P15692	Q04206	1	282	218
P52789	P62633	1	895	843
P25490	Q16665	1	646	1035
P15692	P31749	1	282	0
P31749	Q16539	1	0	969
P04150	P42229	1	630	614
P38398	Q8N163	1	697	67
P63104	Q13164	1	399	752
P54274	Q92736	1	2	325
P17096	Q13322	1	454	961
P45984	Q8N157	1	496	692
P19320	P28482	1	85	701
O00329	Q9Y4H2	1	967	167
P00813	Q99700	1	603	975
P13498	P19438	1	140	354
P35579	P61073	1	903	700
P23945	P31751	1	901	771
P35869	Q04206	1	554	218
P18031	P28482	1	19	701
P19438	P27708	1	354	302
P02545	Q01453	1	58	482
P02786	P63104	1	832	399
P35558	Q15008	1	463	89
O95819	Q13490	1	878	682
P12955	P54274	1	958	2
P01185	Q11206	1	1002	943
P16615	P55085	1	970	737
P04637	Q9ULJ6	1	523	294
P06702	Q16539	1	803	969
O15553	Q96P20	1	400	334
P11021	Q15165	1	1029	787
P19838	P61457	1	635	91
P35222	P37231	1	459	344
P05067	P14735	1	350	105
P22415	Q9UBK2	1	907	520
P10586	P35222	1	640	459
P29350	P29353	1	942	939
P19838	P56524	1	635	644
P41235	Q86YN6	1	642	208
P35579	P51681	1	903	658
P07550	P34810	1	846	584
P19838	P40763	1	635	255
P09211	P28482	1	561	701
P01024	P25391	1	998	501
P01106	Q9BY76	1	756	139
P01137	P29279	1	425	377
P00813	P21728	1	603	441
P12004	P49918	1	1031	244
P11498	Q00325	1	402	830
O00206	P00533	1	187	435
P01106	P19367	1	756	988
P03372	P20142	1	12	263
P56524	Q9BZS1	1	644	528
P10275	Q9BZK7	1	79	745
P01137	P09486	1	425	648
P31749	Q13370	1	0	563
P14784	P51692	1	652	937
P60484	Q00325	1	153	830
P16220	Q6UUV9	1	601	374
O00548	Q04721	1	565	371
P03372	Q9UJ41	1	12	836
P02649	P26441	1	87	666
P04637	P21673	1	523	312
P06213	P40763	1	168	255
P14598	P60709	1	567	243
P04406	P14859	1	438	680
P17676	P35638	1	1003	1021
P01009	P05091	1	442	408
P19320	Q06124	1	85	660
O00329	P27986	1	967	122
P60709	Q16082	1	243	638
P08069	Q99683	1	284	810
P29474	P31749	1	412	0
P46108	Q06124	1	879	660
P24385	Q13562	1	280	161
O60674	P30556	1	471	477
P27708	P35228	1	302	465
O15516	Q9NP66	1	127	815
P05109	Q8N6T7	1	220	186
P54646	Q06210	1	222	865
P29475	P35348	1	413	595
P35579	P38398	1	903	697
P01100	P49715	1	757	633
P04637	P18847	1	523	545
P24666	P35968	1	784	77
P00533	P08069	1	435	284
O95433	Q08752	1	798	417
P41159	P48357	1	555	366
P42574	Q16539	1	1033	969
P25098	P30556	1	323	477
O14543	P05067	1	362	350
O60674	P42229	1	471	614
P08069	P40763	1	284	255
O75791	P10275	1	203	79
P35414	Q13315	1	188	691
P04406	P60709	1	438	243
P04637	P68371	1	523	375
O00141	P04406	1	15	438
P29350	P43628	1	942	143
P02545	P02652	1	58	256
P30556	P54707	1	477	857
P45983	P56945	1	499	732
P35557	Q14397	1	458	342
P31749	Q16513	1	0	540
P07550	P35232	1	846	746
P01100	Q13427	1	757	273
P63104	Q53ET0	1	399	73
P04406	P38398	1	438	697
P09429	Q15109	1	542	437
P02675	Q08752	1	877	417
O60674	P08069	1	471	284
P03372	P35568	1	12	886
P18847	Q10586	1	545	478
P09382	P35968	1	904	77
P10809	P35558	1	668	463
P20333	Q9BXW9	1	946	125
P11226	P26022	1	812	401
P17301	P17931	1	981	123
P05067	P35354	1	350	291
O00300	P02751	1	518	443
P01106	P01584	1	756	728
P05231	P40189	1	104	714
P27708	Q92731	1	302	422
P04792	P31749	1	628	0
P09429	P26358	1	542	941
P03372	P04792	1	12	628
P13569	P35579	1	166	903
P17861	Q92831	1	762	708
P21980	P63241	1	278	833
P05121	P08254	1	683	108
P04637	P51587	1	523	146
P02768	P07477	1	71	416
P04040	Q06124	1	192	660
O14543	P50591	1	362	182
P05771	P10275	1	933	79
O95433	P19838	1	798	635
Q14213	Q8NEV9	1	467	183
P16220	P18887	1	601	84
P11802	P60900	1	226	1026
P12104	Q9NYB0	1	340	1004
P49768	Q00535	1	1017	40
P14136	P49715	1	629	633
O14654	P04792	1	216	628
O60674	P38398	1	471	697
P05067	P41161	1	350	715
P19838	P25054	1	635	626
P07384	P17931	1	964	123
P01106	P02545	1	756	58
P10275	Q99873	1	79	884
P02545	Q9UIF7	1	58	767
P01303	P32245	1	316	581
P01275	P48546	1	289	509
P02768	Q15714	1	71	674
P01009	P07477	1	442	416
P01106	P16615	1	756	970
A5A3E0	P41221	1	678	921
P07203	Q68CZ1	1	407	4
P05067	Q96G30	1	350	845
P09429	P17096	1	542	454
P31749	P49918	1	0	244
P11021	Q16881	1	1029	608
O75469	P23443	1	293	506
P02545	Q8IWU4	1	58	976
P13686	P45984	1	782	496
P01275	P43220	1	289	616
P10586	P28482	1	640	701
P38398	Q14145	1	697	65
P00533	Q13905	1	435	100
O43451	P14598	1	827	567
P02545	P25490	1	58	646
P38398	Q05086	1	697	486
P25942	Q13490	1	705	682
P09429	P56945	1	542	732
P02778	Q16270	1	820	564
P00441	Q01469	1	479	896
P19838	Q13145	1	635	888
P52732	P60484	1	508	153
P46108	P61371	1	879	716
P25942	P29965	1	705	88
P08254	P40763	1	108	255
O15524	Q9Y4H2	1	647	167
P04637	Q05823	1	523	178
Q00613	Q96EB6	1	388	86
P20823	P40763	1	550	255
P10599	Q99836	1	928	1016
P00533	P01137	1	435	425
P40763	Q06124	1	255	660
P18847	Q04206	1	545	218
O75791	P14136	1	203	629
P10145	Q04206	1	625	218
P20823	Q96EB6	1	550	86
P55211	Q13490	1	672	682
P19438	Q00325	1	354	830
P29474	P49768	1	412	1017
P00813	P07741	1	603	938
P11586	P19838	1	252	635
P04406	Q96RI1	1	438	649
P04201	Q13228	1	10	530
P60484	Q92831	1	153	708
P10275	Q05823	1	79	178
P04040	P04179	1	192	27
P28482	Q07869	1	701	1024
Q02078	Q15796	1	721	753
P20810	P60900	1	390	1026
P04049	Q6VAB6	1	200	723
P05109	Q14457	1	220	306
P18031	P40763	1	19	255
P09429	Q04724	1	542	372
P10275	P20142	1	79	263
P06401	P09874	1	157	962
P02766	P10909	1	78	986
P10415	P17931	1	799	123
O94808	P49327	1	517	606
O15123	P15692	1	414	282
P04798	Q9Y2Q3	1	624	225
P00533	P27487	1	435	919
O14901	P28482	1	387	701
P38398	Q8TCU4	1	697	541
P49286	Q12772	1	145	589
P09038	P26022	1	460	401
P14784	P42229	1	652	614
P25445	P29350	1	570	942
P21333	P38398	1	632	697
P19320	Q99873	1	85	884
P41252	Q16513	1	51	540
P13569	Q9H8Y8	1	166	993
P51587	Q15796	1	146	753
P12004	P30613	1	1031	23
O96008	P50416	1	358	585
P01344	P08069	1	456	284
O43524	Q9BXW9	1	805	125
P10909	P18509	1	986	954
P42574	P80303	1	1033	483
P17936	Q03135	1	124	917
P00505	P11498	1	276	402
P14555	P18054	1	449	6
P02751	P11413	1	443	131
P25445	P45983	1	570	499
P02751	P08253	1	443	109
P11166	P19320	1	734	85
P01583	P14778	1	727	1011
Q07869	Q86YN6	1	1024	208
Q05513	Q96RI1	1	685	649
O15294	Q04206	1	236	218
P00533	P17931	1	435	123
P18847	Q9P104	1	545	892
P23443	P31749	1	506	0
P27986	P40189	1	122	714
P04278	Q05086	1	32	486
P42574	P50591	1	1033	182
P29353	P31785	1	939	934
P11021	P19838	1	1029	635
P08246	P11215	1	864	532
P35222	Q04206	1	459	218
P31751	P42574	1	771	1033
P06239	P51681	1	759	658
P11245	Q15831	1	599	768
P04118	P43220	1	750	616
P08254	P35625	1	108	755
P28482	P30556	1	701	477
P10415	Q96F15	1	799	262
P36956	Q13133	1	433	758
P81605	Q6VAB6	1	444	723
P12821	P60709	1	199	243
P35579	Q9NYA1	1	903	328
P06213	P46108	1	168	879
O14543	Q06124	1	362	660
P11802	Q9BX66	1	226	128
P25098	P32245	1	323	581
P13501	P27487	1	871	919
P46108	P60709	1	879	243
P42345	Q8NHX9	1	920	33
P63241	Q13322	1	833	961
Q05513	Q14449	1	685	643
P05067	P10809	1	350	668
P40763	P45983	1	255	499
O15085	O95477	1	410	881
P08621	P62995	1	115	299
P01042	P08246	1	566	864
P04626	P06401	1	223	157
P51449	Q9UBK2	1	905	520
P08253	P80188	1	109	144
P62834	Q92565	1	983	329
P51449	Q8WYA1	1	905	333
P18510	Q04206	1	210	218
P05106	P07384	1	229	964
P01116	P13501	1	1028	871
Q8IUH3	Q99757	1	712	535
O60674	P29353	1	471	939
P07101	P63104	1	149	399
P18847	P56524	1	545	644
P28335	Q03135	1	1013	917
P54259	P54274	1	487	2
P00747	P26022	1	510	401
Q92731	Q9Y2S7	1	422	560
P19838	Q01813	1	635	380
P04637	Q15008	1	523	89
O96008	Q07812	1	358	987
P38398	P55211	1	697	672
P35568	P46108	1	886	879
P35611	P98160	1	275	179
Q15311	Q92664	1	801	772
P17861	Q16665	1	762	1035
P51671	P51681	1	42	658
P28482	Q13541	1	701	281
P05107	P05771	1	230	933
P10275	P25440	1	79	571
P04035	Q16445	1	151	1009
P02751	Q00059	1	443	116
Q12988	Q16082	1	699	638
O14686	P04150	1	596	630
P28482	P45983	1	701	499
P05305	P23946	1	874	902
P09471	P35372	1	41	858
P06401	P14859	1	157	680
P11021	P25490	1	1029	646
P09382	P21333	1	904	632
P0DJI8	Q9BQE4	1	304	856
P05067	P35625	1	350	755
P53701	Q9Y6C9	1	156	173
P30556	P34947	1	477	160
P08195	P16615	1	777	970
P05067	Q9UK58	1	350	1020
P19438	Q9Y5S8	1	354	604
P16070	P16157	1	679	217
P03372	P38398	1	12	697
P25025	Q92664	1	194	772
P05067	P06858	1	350	43
P07384	P18031	1	964	19
O43524	P29353	1	805	939
O43524	P38398	1	805	697
P14317	P22001	1	600	537
P25490	P55055	1	646	170
P04040	Q9BYF1	1	192	46
Q96LR5	Q9NV58	1	430	552
P00441	P10415	1	479	799
P30556	Q6ZMG9	1	477	742
P08913	P09471	1	378	41
Q15831	Q9BWQ8	1	768	101
P18847	P46108	1	545	879
O43524	P01137	1	805	425
P31749	P35568	1	0	886
O75052	Q16849	1	48	963
P60709	Q03135	1	243	917
P42574	P49768	1	1033	1017
P00441	P04040	1	479	192
P10415	Q14457	1	799	306
P16220	Q16539	1	601	969
P26358	Q6FHJ7	1	941	470
O95477	Q04206	1	881	218
P10275	P41161	1	79	715
O14654	P60484	1	216	153
P03372	Q08752	1	12	417
P60568	Q9BZS1	1	292	528
P16410	P33681	1	504	62
P04150	Q04206	1	630	218
P16070	P21333	1	679	632
Q8NFJ9	Q9BXC9	1	791	741
P23443	P28482	1	506	701
P09917	Q16873	1	713	804
P23297	Q6P1J6	1	707	13
P19320	P63104	1	85	399
P05106	Q14289	1	229	883
P00747	P09486	1	510	648
O75475	P03372	1	1019	12
O60674	P11362	1	471	250
P02751	P05771	1	443	933
P01024	P20702	1	998	526
P04040	Q6EEV6	1	192	597
Q01726	Q96G30	1	106	845
P13569	Q13131	1	166	497
P03372	Q9BZK7	1	12	745
P08235	Q03135	1	703	917
P05067	Q9UNI6	1	350	476
P04150	Q16620	1	630	915
P28482	Q00613	1	701	388
P41240	Q14118	1	353	944
P00533	P06702	1	435	803
P60709	Q8NFJ9	1	243	791
P07550	Q92806	1	846	313
P19838	P41279	1	635	524
P11802	Q15796	1	226	753
P38398	P63104	1	697	399
P00797	P07858	1	588	50
P13987	P21333	1	346	632
P62937	Q01860	1	991	776
P11168	P52945	1	733	373
Q06124	Q9Y286	1	660	651
P10912	Q9NSE2	1	254	751
P13284	Q6P1J6	1	20	13
P04637	Q14191	1	523	842
P10909	Q07817	1	986	989
P35222	P60709	1	459	243
P09874	P17542	1	962	829
P51692	P61073	1	937	700
O75469	Q9UBK2	1	293	520
P27986	P50607	1	122	367
O00327	Q8TD31	1	957	44
P47712	Q16539	1	368	969
P08709	Q14457	1	446	306
P62834	Q13905	1	983	100
P04114	P11150	1	744	38
P10275	Q12778	1	79	594
P08183	P17676	1	24	1003
P00441	P07108	1	479	154
O60543	Q9Y478	1	395	3
P09382	P25445	1	904	570
P02649	Q8WTV0	1	87	136
P07384	Q16665	1	964	1035
P01106	Q99958	1	756	320
P41180	Q9NV58	1	389	552
P09874	P17096	1	962	454
P51587	Q15008	1	146	89
P35568	P63104	1	886	399
P19634	Q16539	1	72	969
P00390	P43490	1	317	427
P08246	P19320	1	864	85
P19320	Q8N163	1	85	67
P10275	Q03135	1	79	917
P03372	P28482	1	12	701
O75787	Q9Y5K6	1	890	132
O43663	P13284	1	661	20
P04150	Q6EEV6	1	630	597
P11802	P12004	1	226	1031
P48634	Q9NWB1	1	894	80
P10145	P17676	1	625	1003
P10275	P14735	1	79	105
O00206	P16671	1	187	521
P29350	P29475	1	942	413
P08887	P40763	1	195	255
P06858	P98155	1	43	925
P00533	Q99932	1	435	29
O00330	P17931	1	224	123
P01106	Q99417	1	756	197
P51681	P51692	1	658	937
P28482	Q9UNI6	1	701	476
P08069	Q92748	1	284	711
P16220	P51812	1	601	825
Q00059	Q8WVM0	1	116	1007
P04637	P63104	1	523	399
Q15848	Q86V24	1	788	972
O75197	Q8IW75	1	295	655
P09429	Q04206	1	542	218
Q15831	Q96EB6	1	768	86
P05067	P09471	1	350	41
P51812	Q15831	1	825	768
P55055	P56524	1	170	644
P01189	P33032	1	999	260
P10997	P29120	1	185	102
P02751	P11717	1	443	855
P01308	Q16270	1	321	564
P49917	P60900	1	245	1026
P11021	Q16549	1	1029	693
P10275	P21333	1	79	632
O00141	P42336	1	15	887
P09874	Q12778	1	962	594
O15524	P61073	1	647	700
P01589	P05362	1	720	297
P06213	Q13322	1	168	961
P14784	P31785	1	652	934
Q8TD31	Q9UID3	1	44	251
P08133	P55327	1	464	403
P02647	P11597	1	985	231
P00533	P04201	1	435	10
P08195	P17931	1	777	123
Q99873	Q9HC24	1	884	694
P07550	P11021	1	846	1029
P04440	Q93063	1	559	822
P19320	P51692	1	85	937
P07550	P48051	1	846	867
P40763	Q9NRF2	1	255	405
P37231	Q03135	1	344	917
P13501	P51677	1	871	204
P18859	P51812	1	242	825
Q96A54	Q9UKG1	1	411	147
P68371	Q07954	1	375	211
P08246	P28799	1	864	271
P01116	P17931	1	1028	123
P35968	P49767	1	77	376
P02647	P02766	1	985	78
P04792	Q86TI0	1	628	862
P37088	Q16623	1	583	914
P24385	Q92831	1	280	708
O15516	Q49AN0	1	127	193
P00533	Q14289	1	435	883
P62937	Q99956	1	991	315
P35222	Q92729	1	459	765
P08637	P28907	1	423	462
P35222	Q9NQB0	1	459	792
P01106	Q9UHC9	1	756	620
O00141	Q13164	1	15	752
O60240	Q05469	1	808	965
P03956	P23946	1	593	902
P00533	P13866	1	435	592
Q14994	Q15466	1	339	331
P05091	P10809	1	408	668
P42229	P51587	1	614	146
P01106	Q9Y6M1	1	756	863
P02545	P55085	1	58	737
Q16849	Q92932	1	963	135
P08237	P38398	1	704	697
P10644	P35520	1	327	17
O60477	P24385	1	93	280
P01589	P31785	1	720	934
P01024	P05107	1	998	230
P28482	P42229	1	701	614
P01303	P25929	1	316	112
O00300	P04275	1	518	553
P18031	P55058	1	19	165
P01106	P11802	1	756	226
O60674	P06213	1	471	168
P09874	Q99873	1	962	884
P01344	P11717	1	456	855
P10275	Q08752	1	79	417
O43524	P01106	1	805	756
P14672	Q99523	1	498	819
P35232	Q9Y6C9	1	746	173
P04637	Q9H3M7	1	523	129
O15146	Q13702	1	844	507
P05019	P06213	1	645	168
P11021	P19438	1	1029	354
P13569	P16615	1	166	970
P25490	P61073	1	646	700
P08246	P14780	1	864	654
P08779	P46108	1	1	879
P08887	P26441	1	195	666
P38398	Q15796	1	697	753
P18031	Q92748	1	19	711
P20333	Q03135	1	946	917
P78504	P78536	1	850	619
P07858	P09874	1	50	962
P10275	P14859	1	79	680
Q8IZT6	Q9Y4Z2	1	233	513
P60484	Q13085	1	153	198
P21333	Q12772	1	632	589
P05067	P23560	1	350	860
O14654	Q99608	1	216	70
P04275	P08514	1	553	738
O14654	P04049	1	216	200
P04637	Q16881	1	523	608
P27986	Q06124	1	122	660
O15085	P27986	1	410	122
P05019	P08069	1	645	284
P06401	P51692	1	157	937
P01562	P60568	1	1030	292
P09874	P35222	1	962	459
P35228	P63104	1	465	399
P01137	P05067	1	425	350
P01344	P07585	1	456	690
Q04206	Q07817	1	218	989
P06401	P40763	1	157	255
P31785	P42229	1	934	614
P07384	P20810	1	964	390
P00533	P57075	1	435	47
P05091	Q16082	1	408	638
Q15109	Q9NR96	1	437	455
P27986	P63104	1	122	399
P11021	Q03135	1	1029	917
P45983	Q16236	1	499	426
P17301	P98160	1	981	179
O00327	Q9NP66	1	957	815
O14543	O60674	1	362	471
P07203	Q13228	1	407	530
P05067	Q9NPJ1	1	350	760
P02760	P10176	1	74	352
P04406	P12004	1	438	1031
O15294	O60502	1	236	268
P00813	P04150	1	603	630
P06213	P42229	1	168	614
O75052	O96008	1	48	358
P04637	Q969V5	1	523	796
P13236	P14735	1	489	105
P63162	Q14145	1	731	65
P02751	P09382	1	443	904
P08133	P20648	1	464	725
O75794	P04792	1	201	628
Q16539	Q9UBK2	1	969	520
P28482	P51692	1	701	937
P02768	P08779	1	71	1
P42336	Q15796	1	887	753
P00747	P04792	1	510	628
P20333	P78536	1	946	619
P05771	Q06124	1	933	660
P02751	P17936	1	443	124
O00631	P02545	1	773	58
O14686	Q8IUH3	1	596	712
P40189	P40763	1	714	255
P01100	P40763	1	757	255
P40763	Q5VYX0	1	255	931
Q01469	Q04760	1	896	493
P02655	P06858	1	257	43
P00533	P16070	1	435	679
P01100	Q13164	1	757	752
P04626	P51451	1	223	159
P68371	Q01813	1	375	380
P00533	P04114	1	435	744
P43235	P49917	1	689	245
P14784	P27986	1	652	122
P30532	P32297	1	743	936
P14859	P38398	1	680	697
P04637	Q13887	1	523	9
P08621	P63162	1	115	731
P04637	P10809	1	523	668
P26367	Q8NHW3	1	781	348
P06401	Q05086	1	157	486
P52732	P63104	1	508	399
P08253	P20807	1	109	451
P22301	P40763	1	579	255
P15884	Q9Y4Z2	1	261	513
P14598	P45984	1	567	496
P00533	P42574	1	435	1033
P17861	P60900	1	762	1026
P00441	Q9NV58	1	479	552
P48736	Q14457	1	300	306
P45983	Q15796	1	499	753
P03372	Q04206	1	12	218
Q15714	Q9Y2Q3	1	674	225
P09917	P60709	1	713	243
P04179	Q8N6T7	1	27	186
P16870	P23560	1	1025	860
P09211	Q6EEV6	1	561	597
P05107	P11215	1	230	532
P29475	Q9Y272	1	413	572
P04150	P41235	1	630	642
P11021	Q12772	1	1029	589
P04637	P51449	1	523	905
P11473	P29460	1	420	696
O14654	P46108	1	216	879
P35354	Q9BQE4	1	291	856
Q14790	Q9BX66	1	69	128
P15121	P35414	1	82	188
P35232	P60709	1	746	243
P10451	Q14790	1	684	69
P02545	P36956	1	58	433
P14174	Q9H8Y8	1	492	993
P24530	Q6YHU6	1	439	930
P00747	P08254	1	510	108
P00533	P35579	1	435	903
P19438	P48995	1	354	239
P03372	P29350	1	12	942
P00533	P18031	1	435	19
P05067	P18850	1	350	248
P40763	P51681	1	255	658
Q13490	Q9NP84	1	682	382
Q9H221	Q9H222	1	519	910
O60674	P00533	1	471	435
P02768	P08709	1	71	446
O75787	P01019	1	890	134
O76024	P14416	1	505	452
P05305	P35318	1	874	338
P10809	Q49AN0	1	668	193
P18847	Q02078	1	545	721
P54274	P68371	1	2	375
P15172	P15884	1	966	261
Q15714	Q9NWB1	1	674	80
O75787	P13987	1	890	346
Q05513	Q15109	1	685	437
P20366	P27487	1	349	919
P04083	Q06124	1	580	660
P02545	Q10471	1	58	568
P60709	Q06141	1	243	927
P51843	Q14994	1	436	339
P14598	Q04206	1	567	218
P04626	P41240	1	223	353
O95622	Q05513	1	602	685
P28482	P56524	1	701	644
P00747	P01344	1	510	456
Q8IXJ6	Q96EB6	1	259	86
P40763	Q9BXM7	1	255	286
P30279	P60709	1	889	243
Q13131	Q53ET0	1	497	73
P04049	P10809	1	200	668
P28482	Q99956	1	701	315
P17676	Q16656	1	1003	868
O00206	O60602	1	187	432
P06213	P28482	1	168	701
P12644	Q6X4U4	1	269	826
O95433	Q16513	1	798	540
P51692	Q96DM3	1	937	876
Q92831	Q9Y5W3	1	708	922
O00141	P63104	1	15	399
P00533	Q9Y2Q3	1	435	225
P00505	P04406	1	276	438
P09874	Q13322	1	962	961
P10415	Q14790	1	799	69
P05109	P35228	1	220	465
P01106	Q96A54	1	756	411
Q13228	Q9H8Y8	1	530	993
P56945	Q9Y5K6	1	732	132
P35228	P47712	1	465	368
P21980	P42574	1	278	1033
P19634	Q16853	1	72	221
P26358	P35625	1	941	755
P23945	Q9UKG1	1	901	147
Q96EB6	Q9UBK2	1	86	520
P05067	P07477	1	350	416
P20823	Q01469	1	550	896
P29460	Q5VWK5	1	696	36
P09429	P25054	1	542	626
P01375	P19438	1	237	354
P09874	Q92748	1	962	711
P35232	Q6EEV6	1	746	597
P02545	P02786	1	58	832
P24394	P29353	1	1005	939
P63104	Q13322	1	399	961
P02649	P55058	1	87	165
P01241	P29353	1	164	939
P08069	P35222	1	284	459
P05106	P35968	1	229	77
P05067	P08253	1	350	109
P01106	P40763	1	756	255
P19320	P24666	1	85	784
O15516	P56645	1	127	397
P24530	Q13315	1	439	691
P02545	P05121	1	58	683
P11021	P13569	1	1029	166
Q03135	Q15796	1	917	753
P02652	P04114	1	256	744
P04083	P04406	1	580	438
P02545	Q8N5K1	1	58	935
P10809	Q9Y2Q3	1	668	225
P25445	Q9BWQ8	1	570	101
P10082	P49146	1	951	169
Q8IU85	Q9H1B5	1	356	997
P10415	P49715	1	799	633
P09382	P11021	1	904	1029
P02751	P09874	1	443	962
P00734	P12259	1	900	514
P01308	P35557	1	321	458
P05783	Q14457	1	107	306
P00533	Q9UBK2	1	435	520
P00441	P04406	1	479	438
P25054	P35222	1	626	459
P11021	Q9NTG7	1	1029	676
P10415	Q07812	1	799	987
P29353	Q16665	1	939	1035
P01034	P25774	1	736	175
P48736	P54646	1	300	222
P05067	Q08499	1	350	227
P16109	P26022	1	779	401
P62633	Q99873	1	843	884
P10415	P49768	1	799	1017
P00533	P11021	1	435	1029
Q06124	Q9H3M7	1	660	129
Q13093	Q16849	1	940	963
P25054	P25311	1	626	748
P30411	Q06124	1	473	660
O14654	Q9BXM7	1	216	286
P05067	Q96C74	1	350	330
Q13315	Q9BXW9	1	691	125
P31749	P45983	1	0	499
P03372	Q9UBK2	1	12	520
O00763	P01106	1	92	756
P04626	Q9UBM7	1	223	637
P09936	P18089	1	613	114
P00533	P09429	1	435	542
P02753	P02766	1	445	78
P04637	P49918	1	523	244
P15090	P37231	1	158	344
P01019	P42785	1	134	754
P35232	Q9BQI5	1	746	709
P05121	P05783	1	683	107
O15534	Q8WYA1	1	598	333
P01375	Q14118	1	237	944
P08254	Q04206	1	108	218
P00533	P26441	1	435	666
O75475	P42574	1	1019	1033
P00450	P05164	1	764	794
P11166	Q9H3M7	1	734	129
O00161	P13569	1	627	166
Q14457	Q6P1M0	1	306	303
Q06124	Q99683	1	660	810
P03372	Q03135	1	12	917
P15172	P40763	1	966	255
P08254	P17936	1	108	124
P52732	Q9BXM7	1	508	286
O75197	P07996	1	295	381
P10912	P42229	1	254	614
P54259	P98160	1	487	179
P28072	P60900	1	824	1026
P04637	Q00535	1	523	40
Q04206	Q05639	1	218	370
P10275	Q14457	1	79	306
P80303	Q99608	1	483	70
P46108	Q9Y4H2	1	879	167
P35568	P42336	1	886	887
P29350	P35968	1	942	77
Q03014	Q04724	1	99	372
Q04724	Q9Y261	1	372	849
P02679	P05091	1	880	408
P11362	P16070	1	250	679
P29323	P34741	1	978	351
P00533	Q13085	1	435	198
Q99836	Q9NR96	1	1016	455
P40424	P52945	1	641	373
P10275	P56524	1	79	644
P01106	Q92481	1	756	774
P40763	P51692	1	255	937
P29350	Q9Y4H2	1	942	167
P10275	P40189	1	79	714
P01106	P05067	1	756	350
P07585	P09038	1	690	460
P29350	Q14289	1	942	883
P54707	Q07011	1	857	512
P08621	Q07954	1	115	211
P42574	Q05513	1	1033	685
P02545	P30411	1	58	473
