Index	Uniprot_ID	Protein_names	Length	Organism_ID	Gene_name	Subcellular_location	GO(CC)	Tissue_specificity	GeneID	PDB	Degree	mean_score_top_10_pred
10	P04201	Proto-oncogene Mas	325	9606	MAS1	Cell membrane {ECO:0000269|PubMed:16611642}; Multi-pass membrane protein {ECO:0000269|PubMed:16611642}.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]		4142;	NA;	6	0.7923240661621094
11	Q86VZ6	Juxtaposed with another zinc finger protein 1 (TAK1-interacting protein 27) (Zinc finger protein 802)	243	9606	JAZF1	Nucleus {ECO:0000269|PubMed:15302918}.	cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]	Highest expression in testis with moderate levels in colon, placenta, prostate and ovary and low levels in brain, spleen, liver and small intestine. {ECO:0000269|PubMed:15302918}.	221895;	NA;	1	0.752705991268158
12	P03372	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	595	9606	ESR1	[Isoform 1]: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407, ECO:0000269|PubMed:12682286, ECO:0000269|PubMed:20074560}. Cytoplasm {ECO:0000269|PubMed:12682286, ECO:0000269|PubMed:24498420}. Cell membrane {ECO:0000269|PubMed:12682286}; Peripheral membrane protein {ECO:0000269|PubMed:12682286}; Cytoplasmic side {ECO:0000269|PubMed:12682286}. Note=A minor fraction is associated with the inner membrane.; [Isoform 3]: Nucleus. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell membrane; Single-pass type I membrane protein. Note=Associated with the inner membrane via palmitoylation (Probable). At least a subset exists as a transmembrane protein with a N-terminal extracellular domain. {ECO:0000305}.; Nucleus. Golgi apparatus. Cell membrane. Note=Colocalizes with ZDHHC7 and ZDHHC21 in the Golgi apparatus where most probably palmitoylation occurs. Associated with the plasma membrane when palmitoylated.	cell [GO:0005623]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; transcriptionally active chromatin [GO:0035327]; transcriptional preinitiation complex [GO:0097550]	Widely expressed. Isoform 3 is not expressed in the pituitary gland. {ECO:0000269|PubMed:10970861}.	2099;	1A52;1AKF;1ERE;1ERR;1G50;1GWQ;1GWR;1HCP;1HCQ;1L2I;1PCG;1QKT;1QKU;1R5K;1SJ0;1UOM;1X7E;1X7R;1XP1;1XP6;1XP9;1XPC;1XQC;1YIM;1YIN;1ZKY;2AYR;2B1V;2B1Z;2B23;2BJ4;2FAI;2G44;2G5O;2I0J;2IOG;2IOK;2JF9;2JFA;2LLO;2LLQ;2OCF;2OUZ;2P15;2POG;2Q6J;2Q70;2QA6;2QA8;2QAB;2QE4;2QGT;2QGW;2QH6;2QR9;2QSE;2QXM;2QXS;2QZO;2R6W;2R6Y;2YAT;2YJA;3CBM;3CBO;3CBP;3DT3;3ERD;3ERT;3HLV;3HM1;3L03;3OS8;3OS9;3OSA;3Q95;3UU7;3UUA;3UUC;3UUD;4AA6;4DMA;4IU7;4IUI;4IV2;4IV4;4IVW;4IVY;4IW6;4IW8;4IWC;4IWF;4JC3;4JDD;4MG5;4MG6;4MG7;4MG8;4MG9;4MGA;4MGB;4MGC;4MGD;4O6F;4PP6;4PPP;4PPS;4PXM;4Q13;4Q50;4TUZ;4TV1;4XI3;4ZN7;4ZN9;4ZNH;4ZNS;4ZNT;4ZNU;4ZNV;4ZNW;5AAU;5AAV;5ACC;5AK2;5DI7;5DID;5DIE;5DIG;5DK9;5DKB;5DKE;5DKG;5DKS;5DL4;5DLR;5DMC;5DMF;5DP0;5DRJ;5DRM;5DTV;5DU5;5DUE;5DUG;5DUH;5DVS;5DVV;5DWE;5DWG;5DWI;5DWJ;5DX3;5DXB;5DXE;5DXG;5DXK;5DXM;5DXP;5DXQ;5DXR;5DY8;5DYB;5DYD;5DZ0;5DZ1;5DZ3;5DZH;5DZI;5E0W;5E0X;5E14;5E15;5E19;5E1C;5EGV;5EHJ;5EI1;5EIT;5FQP;5FQR;5FQS;5FQT;5FQV;5GS4;5GTR;5HYR;5JMM;5KCC;5KCD;5KCE;5KCF;5KCT;5KCU;5KCW;5KD9;5KR9;5KRA;5KRC;5KRF;5KRH;5KRI;5KRJ;5KRK;5KRL;5KRM;5KRO;5N10;5T0X;5T1Z;5T92;5T97;5TLD;5TLF;5TLG;5TLL;5TLM;5TLO;5TLP;5TLT;5TLU;5TLV;5TLX;5TLY;5TM1;5TM2;5TM3;5TM4;5TM5;5TM6;5TM7;5TM8;5TM9;5TML;5TMM;5TMO;5TMQ;5TMR;5TMS;5TMT;5TMU;5TMV;5TMW;5TMZ;5TN1;5TN3;5TN4;5TN5;5TN6;5TN7;5TN8;5TN9;5TNB;5U2B;5U2D;5UFW;5UFX;5W9C;5W9D;5WGD;5WGQ;6B0F;6C42;6CBZ;6CHW;6CHZ;6CZN;6D0F;6DF6;6DFN;6HHP;6HKB;6HKF;6HMU;6IAR;6OWC;6PET;6PFM;6PIT;6PSJ;6SBO;6SQ0;6SUO;6TL3;6V87;6V8T;6VGH;6VIG;6VJ1;6VJD;6VMU;6VNN;6VPK;6VVP;	101	0.9568790555000305
13	Q6P1J6	Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Phospholipase B/lipase) (PLB/LIP) [Includes: Phospholipase A2 (EC 3.1.1.4); Lysophospholipase (EC 3.1.1.5)]	1458	9606	PLB1	Apical cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Present in the intestinal brush border membranes. {ECO:0000250}.	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	Expressed in the epidermis (at protein level). {ECO:0000269|PubMed:12150957}.	151056;	NA;	3	0.634595263004303
14	Q92574	Hamartin (Tuberous sclerosis 1 protein)	1164	9606	TSC1	Cytoplasm {ECO:0000269|PubMed:9809973}. Membrane {ECO:0000269|PubMed:9809973}; Peripheral membrane protein {ECO:0000269|PubMed:9809973}. Note=At steady state found in association with membranes. {ECO:0000269|PubMed:9809973}.	cell cortex [GO:0005938]; chaperone complex [GO:0101031]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; lipid droplet [GO:0005811]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; TSC1-TSC2 complex [GO:0033596]	Highly expressed in skeletal muscle, followed by heart, brain, placenta, pancreas, lung, liver and kidney. Also expressed in embryonic kidney cells.	7248;	4Z6Y;5EJC;	8	0.8535949468612671
15	O00141	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	431	9606	SGK1	Cytoplasm. Nucleus. Endoplasmic reticulum membrane. Cell membrane. Mitochondrion. Note=The subcellular localization is controlled by the cell cycle, as well as by exposure to specific hormones and environmental stress stimuli. In proliferating cells, it shuttles between the nucleus and cytoplasm in synchrony with the cell cycle, and in serum/growth factor-stimulated cells it resides in the nucleus. In contrast, after exposure to environmental stress or treatment with glucocorticoids, it is detected in the cytoplasm and with certain stress conditions is associated with the mitochondria. In osmoregulation through the epithelial sodium channel, it can be localized to the cytoplasmic surface of the cell membrane. Nuclear, upon phosphorylation.; [Isoform 2]: Cell membrane.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	Expressed in most tissues with highest levels in the pancreas, followed by placenta, kidney and lung. Isoform 2 is strongly expressed in brain and pancreas, weaker in heart, placenta, lung, liver and skeletal muscle. {ECO:0000269|PubMed:10548550, ECO:0000269|PubMed:18753299}.	6446;	2R5T;3HDM;3HDN;	15	0.9012654602527619
16	Q13976	cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)	671	9606	PRKG1	Cytoplasm {ECO:0000250}. Note=Colocalized with TRPC7 in the plasma membrane. {ECO:0000250}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]	Primarily expressed in lung and placenta. {ECO:0000269|PubMed:9192852}.	5592;	1ZXA;3NMD;3OCP;3OD0;3OGJ;4KU7;4KU8;4QX5;4QXK;4R4L;4R4M;4Z07;5J48;5JAX;5JD7;5L0N;6BDL;6BG2;6C0T;	6	0.8146805465221405
17	P35520	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	551	9606	CBS	Cytoplasm {ECO:0000269|PubMed:17087506, ECO:0000269|PubMed:23981774}. Nucleus {ECO:0000269|PubMed:17087506}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	In the adult strongly expressed in liver and pancreas, some expression in heart and brain, weak expression in lung and kidney. In the fetus, expressed in brain, liver and kidney.	102724560;875;	1JBQ;1M54;4COO;4L0D;4L27;4L28;4L3V;4PCU;4UUU;5MMS;	4	0.8371903955936432
18	P07148	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)	127	9606	FABP1	Cytoplasm.	apical cortex [GO:0045179]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; peroxisomal matrix [GO:0005782]; protein-containing complex [GO:0032991]		2168;	2F73;2L67;2L68;2LKK;2PY1;3B2H;3B2I;3B2J;3B2K;3B2L;3STK;3STM;3STN;3VG2;3VG3;3VG4;3VG5;3VG6;3VG7;6DO6;6DO7;6DRG;6MP4;	3	0.7672258973121643
19	P18031	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	435	9606	PTPN1	Endoplasmic reticulum membrane {ECO:0000269|PubMed:1739967, ECO:0000269|PubMed:21135139}; Peripheral membrane protein {ECO:0000269|PubMed:1739967, ECO:0000269|PubMed:21135139}; Cytoplasmic side {ECO:0000269|PubMed:1739967, ECO:0000269|PubMed:21135139}. Note=Interacts with EPHA3 at the cell membrane.	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; mitochondrial crista [GO:0030061]; mitochondrial matrix [GO:0005759]; protein-containing complex [GO:0032991]; sorting endosome [GO:0097443]	Expressed in keratinocytes (at protein level). {ECO:0000269|PubMed:29043977}.	5770;	1A5Y;1AAX;1BZC;1BZH;1BZJ;1C83;1C84;1C85;1C86;1C87;1C88;1ECV;1EEN;1EEO;1G1F;1G1G;1G1H;1G7F;1G7G;1GFY;1I57;1JF7;1KAK;1KAV;1L8G;1LQF;1NL9;1NNY;1NO6;1NWE;1NWL;1NZ7;1OEM;1OEO;1OES;1OET;1OEU;1OEV;1ONY;1ONZ;1PA1;1PH0;1PTT;1PTU;1PTV;1PTY;1PXH;1PYN;1Q1M;1Q6J;1Q6M;1Q6N;1Q6P;1Q6S;1Q6T;1QXK;1SUG;1T48;1T49;1T4J;1WAX;1XBO;2AZR;2B07;2B4S;2BGD;2BGE;2CM2;2CM3;2CM7;2CM8;2CMA;2CMB;2CMC;2CNE;2CNF;2CNG;2CNH;2CNI;2F6F;2F6T;2F6V;2F6W;2F6Y;2F6Z;2F70;2F71;2FJM;2FJN;2H4G;2H4K;2HB1;2HNP;2HNQ;2NT7;2NTA;2QBP;2QBQ;2QBR;2QBS;2VEU;2VEV;2VEW;2VEX;2VEY;2ZMM;2ZN7;3A5J;3A5K;3CWE;3D9C;3EAX;3EB1;3EU0;3I7Z;3I80;3QKP;3QKQ;3SME;3ZMP;3ZMQ;3ZV2;4BJO;4I8N;4QAH;4QAP;4QBE;4QBW;4Y14;4ZRT;5K9V;5K9W;5KA0;5KA1;5KA2;5KA3;5KA4;5KA7;5KA8;5KA9;5KAA;5KAB;5KAC;5KAD;5QDE;5QDF;5QDG;5QDH;5QDI;5QDJ;5QDK;5QDL;5QDM;5QDN;5QDO;5QDP;5QDQ;5QDR;5QDS;5QDT;5QDU;5QDV;5QDW;5QDX;5QDY;5QDZ;5QE0;5QE1;5QE2;5QE3;5QE4;5QE5;5QE6;5QE7;5QE8;5QE9;5QEA;5QEB;5QEC;5QED;5QEE;5QEF;5QEG;5QEH;5QEI;5QEJ;5QEK;5QEL;5QEM;5QEN;5QEO;5QEP;5QEQ;5QER;5QES;5QET;5QEU;5QEV;5QEW;5QEX;5QEY;5QEZ;5QF0;5QF1;5QF2;5QF3;5QF4;5QF5;5QF6;5QF7;5QF8;5QF9;5QFA;5QFB;5QFC;5QFD;5QFE;5QFF;5QFG;5QFH;5QFI;5QFJ;5QFK;5QFL;5QFM;5QFN;5QFO;5QFP;5QFQ;5QFR;5QFS;5QFT;5QFU;5QFV;5QFW;5QFX;5QFY;5QFZ;5QG0;5QG1;5QG2;5QG3;5QG4;5QG5;5QG6;5QG7;5QG8;5QG9;5QGA;5QGB;5QGC;5QGD;5QGE;5QGF;5T19;6B8E;6B8T;6B8X;6B8Z;6B90;6B95;6BAI;6CWU;6CWV;6NTP;6OL4;6OLQ;6OLV;6OMY;6PFW;6PG0;6PGT;6PHA;6PHS;6PM8;	37	0.918584269285202
20	P13284	Gamma-interferon-inducible lysosomal thiol reductase (EC 1.8.-.-) (Gamma-interferon-inducible protein IP-30) (Legumaturain)	250	9606	IFI30	Secreted {ECO:0000269|PubMed:10639150, ECO:0000269|PubMed:3136170}. Lysosome {ECO:0000269|PubMed:10639150, ECO:0000269|PubMed:3136170}.	cell junction [GO:0030054]; cytosol [GO:0005829]; extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]		10437;	NA;	4	0.7192232966423034
21	P35712	Transcription factor SOX-6	828	9606	SOX6	Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:16442531}.	nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	Expressed in a wide variety of tissues, most abundantly in skeletal muscle. {ECO:0000269|PubMed:11255018}.	55553;	NA;	1	0.6846147298812866
22	P08185	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	405	9606	SERPINA6	Secreted.	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]	Plasma; synthesized in liver. Has also been identified in a number of glycocorticoid responsive cells.	866;	2VDX;2VDY;4BB2;4C41;4C49;	3	0.6952023088932038
23	P30613	Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)	574	9606	PKLR		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]		5313;	2VGB;2VGF;2VGG;2VGI;4IMA;4IP7;6NN4;6NN5;6NN7;6NN8;	4	0.7352597415447235
24	P08183	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	1280	9606	ABCB1	Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000269|PubMed:8898203}.	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; external side of apical plasma membrane [GO:0098591]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	Expressed in liver, kidney, small intestine and brain.	5243;	6C0V;6FN1;6FN4;6QEX;	4	0.7732470452785491
25	P48645	Neuromedin-U [Cleaved into: Neuromedin precursor-related peptide 36 (NURP36); Neuromedin precursor-related peptide 33 (NURP33); Neuromedin-U-25 (NmU-25)]	174	9606	NMU	Secreted.	cell [GO:0005623]; extracellular region [GO:0005576]; terminal bouton [GO:0043195]	Expressed throughout the enteric nervous system with highest levels being found in the jejunum.	10874;	NA;	1	0.6315756261348724
26	P52757	Beta-chimaerin (Beta-chimerin) (Rho GTPase-activating protein 3)	468	9606	CHN2	Membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	cytosol [GO:0005829]; membrane [GO:0016020]; synapse [GO:0045202]	Highest levels in the brain and pancreas. Also expressed in the heart, placenta, and weakly in the kidney and liver. Expression is much reduced in the malignant gliomas, compared to normal brain or low-grade astrocytomas.	1124;	1XA6;	5	0.8238922595977783
27	P04179	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	222	9606	SOD2	Mitochondrion matrix.	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]		6648;	1AP5;1AP6;1EM1;1JA8;1LUV;1LUW;1MSD;1N0J;1N0N;1PL4;1PM9;1QNM;1SZX;1VAR;1XDC;1XIL;1ZSP;1ZTE;1ZUQ;2ADP;2ADQ;2GDS;2P4K;2QKA;2QKC;3C3S;3C3T;5GXO;5T30;5VF9;	7	0.6601674914360046
